N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,Net Occupancy Base, %,Net Occupancy Tract, %.1,Residential Real Estate Value Score,Residential Real Estate Value Base, %.2,Residential Real Estate Value Tract, %.3,Acres of Park Land Score,Acres of Park Land Base, %.4,Acres of Park Land Tract, %.5,Affordable Housing Score,Affordable Housing Base, %.6,Affordable Housing Tract, %.7,Internet Access Score,Internet Access Base, %.8,Internet Access Tract, %.9,Travel Time to Work Score,Travel Time to Work Base, %.10,Travel Time to Work Tract, %.11,Economy,Economy Growth,Economy Inclusion,New Businesses Score,New Businesses Base, %.12,New Businesses Tract, %.13,Spend Growth Score,Spend Growth Base, %.14,Spend Growth Tract, %.15,Small Business Loans Score,Small Business Loans Base, %.16,Small Business Loans Tract, %.17,Minority/Women Owned Businesses Score,Minority/Women Owned Businesses Base, %.18,Minority/Women Owned Businesses Tract, %.19,Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,Commercial Diversity Base, %.20,Commercial Diversity Tract, %.21,Community,Community Growth,Community Inclusion,Personal Income Score,Personal Income Base, %.22,Personal Income Tract, %.23,Spending per Capita Score,Spending per Capita Base, %.24,Spending per Capita Tract, %.25,Female Above Poverty Score,Female Above Poverty Base, %.26,Female Above Poverty Tract, %.27,Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,Early Education Enrollment Base, %.28,Early Education Enrollment Tract, %.29,Health Insurance Coverage Score,Health Insurance Coverage Base, %.30,Health Insurance Coverage Tract, %.31
50,,1121011000,Talladega County,Alabama,2019,36,35,37,34,35,34,44,-0.4,0.0,26.0,6.5,-7.9,25,2.1,0.5,24,81.0,76.6,20,74.7,66.1,68,73.0,78.7,44,52,35,38,11.2,11.8,,,,66,5.3,85.7,62.0,4.3,5.3,8,35,8,,,,30,18,42,18,8.4,-10.0,,,,37,82.0,78.3,20,42.5,47.1,81.0,22.9,35.7,29,91.5,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,1121011000,Talladega County,Alabama,2020,32,30,35,38,41,35,47,-0.4,0.6,35.0,12.0,5.0,25,2.1,0.5,27,81.3,77.6,20,75.9,67.7,67,72.5,77.9,32,27,36,36,5.6,5.3,,,,18,6.0,-7.7,66.0,3.9,5.0,6,34,6,,,,28,23,34,23,10.9,-1.3,,,,31,82.5,76.8,15,42.6,48.5,72.0,22.9,30.8,19,92.6,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,1121011000,Talladega County,Alabama,2021,41,51,31,48,56,40,55,-1.7,1.6,57.0,9.4,26.8,25,2.1,0.5,42,82.0,80.8,36,81.4,78.5,57,71.6,74.2,42,58,26,59,4.5,15.0,,,,57,8.5,41.7,37.0,5.5,4.3,14,34,12,,,,34,39,28,39,11.8,8.3,,,,35,84.1,79.9,20,42.0,47.0,,24.6,,28,93.5,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,1121011000,Talladega County,Alabama,2022,48,56,39,57,62,52,62,-1.4,4.4,63.0,13.0,42.0,25,2.1,0.5,78,81.8,86.1,42,83.2,81.8,61,71.3,75.0,36,49,24,54,-6.7,4.3,,,,44,12.2,23.5,37.0,5.2,4.2,12,33,10,,,,48,57,40,57,12.9,15.7,,,,57,84.3,86.0,35,42.1,44.1,,24.7,,27,93.4,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,1121011000,Talladega County,Alabama,2023,40,41,38,43,40,46,48,-1.2,0.6,33.0,30.7,16.6,25,2.1,0.5,79,81.1,85.4,33,84.7,81.2,49,71.2,70.9,23,14,32,15,24.1,4.2,,,,12,-7.2,-38.1,51.0,3.9,4.0,12,33,10,,,,52,68,37,68,14.5,24.1,,,,48,84.3,83.9,38,42.1,43.7,,25.5,,25,93.2,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,1121011000,Talladega County,Alabama,2024,40,40,40,43,40,46,48,-1.2,0.6,33.0,30.7,16.6,25,2.1,0.5,79,81.1,85.4,33,84.7,81.2,49,71.2,70.9,24,12,36,12,-3.3,-12.0,,,,12,-7.2,-38.1,60.0,3.8,4.5,12,33,10,,,,52,68,37,68,14.5,24.1,,,,48,84.3,83.9,38,42.1,43.7,,25.5,,25,93.2,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,1121010301,Talladega County,Alabama,2017,34,41,26,30,34,27,13,-0.1,-9.4,56.0,-2.2,8.5,21,2.1,0.3,29,79.8,76.0,25,73.5,66.6,34,73.7,67.5,20,14,26,6,0.6,-22.7,,,,23,3.0,-7.7,38.0,4.3,3.6,14,35,12,,,,50,76,24,76,4.2,38.0,,,,8,81.4,59.5,8,42.1,50.7,59.0,23.0,26.1,19,89.1,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,1121010301,Talladega County,Alabama,2018,33,37,29,24,21,28,14,-0.3,-8.3,28.0,1.3,-9.6,21,2.1,0.3,29,80.5,76.8,25,73.5,66.6,35,73.3,68.0,22,15,28,6,0.6,-22.7,,,,24,0.6,-8.3,38.0,4.3,3.6,18,35,15,,,,54,76,31,76,5.9,42.1,,,,13,81.7,65.9,4,42.3,53.5,76.0,23.0,32.6,31,90.3,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,1121010301,Talladega County,Alabama,2019,42,56,29,30,32,28,44,-0.4,-0.1,19.0,6.5,-14.5,21,2.1,0.3,31,81.0,77.9,28,74.7,69.0,30,73.0,65.7,50,68,32,69,11.2,64.7,,,,67,5.3,72.7,38.0,4.3,3.6,25,35,19,,,,48,67,28,67,8.4,19.8,,,,14,82.0,67.5,5,42.5,52.7,61.0,22.9,26.9,30,91.5,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,1121010301,Talladega County,Alabama,2020,32,32,31,35,40,30,67,-0.4,6.8,12.0,12.0,-27.2,21,2.1,0.3,27,81.3,77.7,31,75.9,71.5,40,72.5,69.0,34,35,34,61,5.6,21.4,,,,9,6.0,-21.1,33.0,3.9,2.9,34,34,24,,,,25,22,28,22,10.9,3.0,,,,23,82.5,73.7,10,42.6,50.1,58.0,22.9,25.9,21,92.6,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,1121010301,Talladega County,Alabama,2021,29,25,33,45,50,40,72,-1.7,11.5,28.0,9.4,-7.5,21,2.1,0.3,26,82.0,77.9,44,81.4,80.3,67,71.6,77.5,19,15,23,18,4.5,-2.9,,,,12,8.5,-20.0,19.0,5.5,3.0,27,34,20,,,,24,11,36,11,11.8,-9.5,,,,38,84.1,80.8,54,42.0,41.5,42.0,24.6,21.8,11,93.5,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,1121010301,Talladega County,Alabama,2022,38,42,33,48,60,37,72,-1.4,11.3,49.0,13.0,21.3,21,2.1,0.3,10,81.8,71.6,60,83.2,85.2,57,71.3,73.9,40,55,24,43,-6.7,-3.0,,,,67,12.2,116.7,23.0,5.2,3.1,25,33,19,,,,24,12,37,12,12.9,-5.1,,,,46,84.3,83.4,46,42.1,42.6,,24.7,,18,93.4,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,1121010301,Talladega County,Alabama,2023,37,39,35,57,69,45,67,-1.2,7.8,71.0,30.7,103.0,21,2.1,0.3,18,81.1,74.2,85,84.7,91.2,57,71.2,73.6,26,25,28,19,24.1,9.4,,,,31,-7.2,-11.5,31.0,3.9,2.9,25,33,19,,,,27,23,31,23,14.5,5.0,,,,34,84.3,79.9,30,42.1,45.1,,25.5,,29,93.2,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,1121010301,Talladega County,Alabama,2024,42,41,42,57,69,45,67,-1.2,7.8,71.0,30.7,103.0,21,2.1,0.3,18,81.1,74.2,85,84.7,91.2,57,71.2,73.6,40,30,50,29,-3.3,-5.7,,,,31,-7.2,-11.5,76.0,3.8,6.1,25,33,19,,,,27,23,31,23,14.5,5.0,,,,34,84.3,79.9,30,42.1,45.1,,25.5,,29,93.2,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
